Position: (1, 1), Move: left, Accessible Area: 119
Position: (1, 1), Move: straight, Accessible Area: 119
Position: (1, 1), Move: right, Accessible Area: 119
Position: (0, 1), Move: left, Accessible Area: 117
Position: (0, 1), Move: straight, Accessible Area: 0
Position: (0, 1), Move: right, Accessible Area: 117
Position: (0, 0), Move: left, Accessible Area: 115
Position: (0, 0), Move: straight, Accessible Area: 0
Position: (0, 0), Move: right, Accessible Area: 0
Position: (1, 0), Move: left, Accessible Area: 114
Position: (1, 0), Move: straight, Accessible Area: 114
Position: (1, 0), Move: right, Accessible Area: 0
Position: (1, -1), Move: left, Accessible Area: 0
Position: (1, -1), Move: straight, Accessible Area: 0
Position: (1, -1), Move: right, Accessible Area: 0
Position: (1, 1), Move: left, Accessible Area: 119
Position: (1, 1), Move: straight, Accessible Area: 119
Position: (1, 1), Move: right, Accessible Area: 119
Position: (1, 2), Move: left, Accessible Area: 117
Position: (1, 2), Move: straight, Accessible Area: 117
Position: (1, 2), Move: right, Accessible Area: 117
Position: (2, 2), Move: left, Accessible Area: 115
Position: (2, 2), Move: straight, Accessible Area: 115
Position: (2, 2), Move: right, Accessible Area: 115
Position: (2, 3), Move: left, Accessible Area: 115
Position: (2, 3), Move: straight, Accessible Area: 115
Position: (2, 3), Move: right, Accessible Area: 115
Position: (1, 3), Move: left, Accessible Area: 115
Position: (1, 3), Move: straight, Accessible Area: 115
Position: (1, 3), Move: right, Accessible Area: 115
Position: (1, 2), Move: left, Accessible Area: 114
Position: (1, 2), Move: straight, Accessible Area: 114
Position: (1, 2), Move: right, Accessible Area: 114
Position: (2, 2), Move: left, Accessible Area: 114
Position: (2, 2), Move: straight, Accessible Area: 114
Position: (2, 2), Move: right, Accessible Area: 114
Position: (2, 3), Move: left, Accessible Area: 114
Position: (2, 3), Move: straight, Accessible Area: 114
Position: (2, 3), Move: right, Accessible Area: 114
Position: (2, 4), Move: left, Accessible Area: 114
Position: (2, 4), Move: straight, Accessible Area: 114
Position: (2, 4), Move: right, Accessible Area: 114
Position: (3, 4), Move: left, Accessible Area: 114
Position: (3, 4), Move: straight, Accessible Area: 114
Position: (3, 4), Move: right, Accessible Area: 114
Position: (3, 3), Move: left, Accessible Area: 114
Position: (3, 3), Move: straight, Accessible Area: 114
Position: (3, 3), Move: right, Accessible Area: 114
Position: (2, 3), Move: left, Accessible Area: 114
Position: (2, 3), Move: straight, Accessible Area: 114
Position: (2, 3), Move: right, Accessible Area: 114
Position: (2, 4), Move: left, Accessible Area: 114
Position: (2, 4), Move: straight, Accessible Area: 114
Position: (2, 4), Move: right, Accessible Area: 114
Position: (3, 4), Move: left, Accessible Area: 114
Position: (3, 4), Move: straight, Accessible Area: 114
Position: (3, 4), Move: right, Accessible Area: 114
Position: (3, 3), Move: left, Accessible Area: 114
Position: (3, 3), Move: straight, Accessible Area: 114
Position: (3, 3), Move: right, Accessible Area: 114
Position: (2, 3), Move: left, Accessible Area: 114
Position: (2, 3), Move: straight, Accessible Area: 114
Position: (2, 3), Move: right, Accessible Area: 114
Position: (2, 4), Move: left, Accessible Area: 114
Position: (2, 4), Move: straight, Accessible Area: 114
Position: (2, 4), Move: right, Accessible Area: 114
Position: (3, 4), Move: left, Accessible Area: 114
Position: (3, 4), Move: straight, Accessible Area: 114
Position: (3, 4), Move: right, Accessible Area: 114
Position: (3, 5), Move: left, Accessible Area: 114
Position: (3, 5), Move: straight, Accessible Area: 114
Position: (3, 5), Move: right, Accessible Area: 114
Position: (4, 5), Move: left, Accessible Area: 114
Position: (4, 5), Move: straight, Accessible Area: 114
Position: (4, 5), Move: right, Accessible Area: 114
Position: (4, 6), Move: left, Accessible Area: 113
Position: (4, 6), Move: straight, Accessible Area: 113
Position: (4, 6), Move: right, Accessible Area: 113
Position: (5, 6), Move: left, Accessible Area: 113
Position: (5, 6), Move: straight, Accessible Area: 113
Position: (5, 6), Move: right, Accessible Area: 113
Position: (5, 5), Move: left, Accessible Area: 113
Position: (5, 5), Move: straight, Accessible Area: 113
Position: (5, 5), Move: right, Accessible Area: 113
Position: (6, 5), Move: left, Accessible Area: 112
Position: (6, 5), Move: straight, Accessible Area: 112
Position: (6, 5), Move: right, Accessible Area: 112
Position: (6, 6), Move: left, Accessible Area: 0
Position: (6, 6), Move: straight, Accessible Area: 112
Position: (6, 6), Move: right, Accessible Area: 112
